scenario,initial_tvl,final_tvl,total_hack_events,total_hack_losses,total_insurance_payouts,final_lp_capital,final_utilization,final_revenue_share,protocol_profit,lp_profit,hack_frequency,loss_ratio
Base Case,160663244.24759614,262428977.7649064,0,0.0,0.0,126844853.70084974,0.39290814797750234,0.5509363810219716,6462034.926812403,12949050.474340416,0.0,0.0
Base Case,64001608.6970011,58230915.5566847,1,44728857.31356044,20402855.52251863,30212585.39196607,0.6753098173433387,0.5118134440728992,63440493.513968065,-16530490.741820032,1.0,0.4561452437626458
Base Case,92456292.1499815,72378549.75977375,0,0.0,0.0,73731294.02183986,0.39827913677336124,0.31644119919757435,7501632.2683051005,4337979.879207931,0.0,0.0
Base Case,124716415.2868486,113818917.51919559,1,454319.86997244845,454319.86997244845,98009871.89500028,0.39822843368068345,0.37902378278329824,9803309.980387561,6605316.719176225,1.0,1.0
Base Case,105004335.40966645,120793550.6729397,0,0.0,0.0,82204459.71949357,0.39774562992269713,0.36034906543228856,7368128.881259624,5508995.95124636,0.0,0.0
Base Case,136310877.83468524,179290093.9131402,0,0.0,0.0,107618566.87607057,0.3952474274087608,0.3673266910268515,9404921.79944437,7394600.868034177,0.0,0.0
Base Case,182196132.6464993,171542727.4650145,0,0.0,0.0,141181854.7481179,0.3931617902325448,0.3303804239265669,13975033.43746004,8810241.177180564,0.0,0.0
Base Case,186287590.78511754,174238289.0822212,0,0.0,0.0,144352268.59863085,0.3922508556478666,0.3378081708734236,14188219.01278848,9190939.481746262,0.0,0.0
Base Case,165469147.45961604,208975124.50146565,0,0.0,0.0,130639132.7470715,0.39170014757010535,0.4229669543404801,10274648.442839801,10289337.060255323,0.0,0.0
Base Case,192309166.08326703,82912877.22117566,0,0.0,0.0,149769247.87704557,0.3908968055369503,0.39109925756294933,14157823.948589973,10921043.139842078,0.0,0.0
Base Case,72154977.93803383,60623134.58141825,0,0.0,0.0,57063426.49229381,0.40077986139391747,0.45174261870148297,4384803.411700695,4691614.258220406,0.0,0.0
Base Case,126158565.2550892,97280881.84163989,0,0.0,0.0,99603277.09763479,0.3970748043653279,0.4319739879943356,8174589.115283683,7961982.9182392415,0.0,0.0
Base Case,147848948.8696032,102571181.99098614,1,14668207.904290618,14668207.904290618,102059710.37363794,0.4510839870135602,0.5569444814704821,44904968.195749775,-1542348.6623814013,1.0,1.0
Base Case,97042926.2904407,94003194.65881944,0,0.0,0.0,75971779.06145906,0.3992375684962594,0.3799676496771304,6717103.937588485,5344334.244693569,0.0,0.0
Base Case,169610309.7026114,151467645.1892555,1,500903.65142390365,500903.65142390365,130928372.42436728,0.3956773542078717,0.32730179576601504,14447181.662422696,7669149.2512396,1.0,1.0
Base Case,64440401.124523655,66947141.480735436,1,2451333.938912868,2451333.938912868,48511120.23606277,0.4231621154440227,0.38627103994257944,11588372.945472585,1086688.7778846489,1.0,1.0
Base Case,168326956.27747697,186325554.22371063,0,0.0,0.0,130434823.40481174,0.39448244109668773,0.3620660545025974,11968326.968723997,8883621.344567565,0.0,0.0
Base Case,175008923.7201118,263514613.74916518,0,0.0,0.0,136295975.76902434,0.3928390554082836,0.4880692777732497,8715632.967866858,12399463.323527291,0.0,0.0
Base Case,191101040.85262436,135617217.82727087,0,0.0,0.0,148828370.88634628,0.3911544163016245,0.4468413016037583,12037450.59573225,12369657.4031635,0.0,0.0
Base Case,98150012.37638822,138395757.9675767,0,0.0,0.0,76838474.13155681,0.399323196218036,0.39609184265104563,6198313.394513643,5644964.300751856,0.0,0.0
Base Case,153344578.22909793,113008416.18641369,0,0.0,0.0,121066121.05091986,0.39289929253860084,0.44236808327321697,9823798.02595766,9907823.822864935,0.0,0.0
