t,U,U_cap,cap_scale,gamma,gamma_raw,p_anchor,p_risk,lam_bar,CLP,sum_CC,coverage,r_pool_eff,n_hacks,claims,paid,forfeited,shortfall,mean_h,mean_p,exp_hacks,insured_frac,fp_iters,fp_conv,eps_stage,seed
4,6.947279937513117,21.7261134321297,1.0,0.3454408271974597,0.5328968768200868,0.003992010656008516,0.002098415541392529,0.004202344099317582,941.4608871931865,4318.816632977931,5629.565341671227,0.1,0,0.0,0.0,0.0,0.0,1.148,0.001044937287423863,0.5224686437119315,1.0,4,True,1.4361845046551025e-12,1002
5,6.084738045197082,21.01395432187773,1.0,0.32866365962034616,0.4824430230631004,0.004489890170429445,0.002152074562418949,0.004309947933206411,1067.9455674291653,4441.874882630019,5728.542878369381,0.1,0,0.0,0.0,0.0,0.0,1.172,0.001071641893794471,0.5358209468972356,1.0,5,True,2.8821212083585124e-10,1002
6,5.451011915402361,21.01395432187773,1.0,0.3252634053955399,0.4605522508132681,0.004489890170429445,0.0021966878236722278,0.0043994175765516026,1279.6098155518614,4553.573269376655,5821.384013057516,0.1,2,59.44965565672859,59.44965565672859,139.65468922599936,0.0,1.1973333333333334,0.0010938785057698949,0.5469392528849475,1.0,7,True,1.7356782677779847e-11,1002
7,4.625068221649359,21.01395432187773,1.0,0.32306850544725363,0.43117145171725935,0.004489890170429445,0.0022441615609332002,0.004494629252375732,1482.2182338021462,4673.017295737024,5918.282694019512,0.1,1,62.06638318421139,62.06638318421139,132.10685602089708,0.0,1.2233333333333332,0.0011174737118280855,0.5587368559140428,1.0,5,True,8.774527771038265e-10,1002
0,18.73610721593386,19.14537277845424,1.0,0.5370353076132905,0.9959749770306576,0.005982035946064723,0.0029962566725409206,0.006003761017267723,390.42981702166435,2951.2031116617445,4684.026803983465,0.1,1,1.879159603004523,1.879159603004523,3.3473307330916007,0.0,0.9906666666666667,0.001492455918190378,0.746227959095189,1.0,11,True,1.4431264516723274e-10,1003
1,13.724712366522843,20.34943101853157,1.0,0.4403911891409387,0.7885834109754123,0.00498752080731768,0.002398335160259369,0.0048038735239448625,542.4023119900176,3844.2143273524634,5358.536937936487,0.1,1,2.290504224964245,2.290504224964245,3.2688522226962395,0.0,1.1166666666666665,0.001193706812987647,0.5968534064938235,1.0,7,True,8.354206215699378e-12,1003
2,10.31193438093889,21.01395432187773,1.0,0.3890085055612242,0.6637731521624941,0.004489890170429445,0.002311229886105959,0.004629148804370903,715.8072022847368,4205.356709176667,5593.217049310604,0.1,1,46.72987834128561,46.72987834128561,74.8861978666445,0.0,1.1613333333333333,0.0011503513381932744,0.5751756690966372,1.0,8,True,1.794120407794253e-13,1003
3,8.156899205562615,21.01395432187773,1.0,0.353013180898025,0.5722062575570412,0.004489890170429445,0.00224105699886914,0.004488402677643621,918.437908611033,4633.218688520672,5838.767199652368,0.1,1,11.362705134684083,11.362705134684083,69.15729807873866,0.0,1.2006666666666668,0.0011156750463077625,0.5578375231538812,1.0,8,True,7.425171588693047e-13,1003
4,6.528248601808388,21.01395432187773,1.0,0.3331482639224317,0.5085052796987213,0.004489890170429445,0.0022598922090766864,0.004526179342205698,1060.3092051940157,4902.150491579577,5995.790992737796,0.1,0,0.0,0.0,0.0,0.0,1.228,0.0011251697942058732,0.5625848971029366,1.0,8,True,1.2880807531701066e-11,1003
5,5.74785398087581,21.01395432187773,1.0,0.32786299013570275,0.48167496084331923,0.004489890170429445,0.0023173422336403853,0.004641408957690392,1221.8051621124528,5031.63560890752,6094.502486033689,0.1,1,41.196222847671365,41.196222847671365,58.20057534002058,0.0,1.252,0.0011537861774807948,0.5768930887403974,1.0,4,True,1.5241141682054149e-12,1003
6,5.0681456902881825,21.01395432187773,1.0,0.32446530663766104,0.45726247196040626,0.004489890170429445,0.002353928797126959,0.004714796289652851,1366.6128883794663,5152.781421398024,6192.286566732081,0.1,0,0.0,0.0,0.0,0.0,1.28,0.0011720397712642978,0.5860198856321489,1.0,5,True,2.384084041295864e-10,1003
7,4.606194840492979,20.34943101853157,1.0,0.3146563482915759,0.4240114995081589,0.00498752080731768,0.002400749205470843,0.004808716135768744,1509.166589999852,5290.011173487387,6294.885235404705,0.1,0,0.0,0.0,0.0,0.0,1.3073333333333332,0.001195321140029292,0.597660570014646,1.0,4,True,2.1032064978498966e-12,1003
0,18.41986841523597,20.34943101853157,1.0,0.5364477107043865,0.9913042247039179,0.00498752080731768,0.002614424647909353,0.0052374104039919385,386.8434927693938,2814.0560513451082,4604.967103808993,0.1,0,0.0,0.0,0.0,0.0,0.968,0.0013030344406249523,0.6515172203124762,1.0,100,False,0.00024188543284447278,1004
1,13.725343520803037,21.7261134321297,1.0,0.4420492739847053,0.7905248710344264,0.003992010656008516,0.001941596863947426,0.0038879129710040847,540.7186395822201,3747.262437877922,5309.559827047216,0.1,0,0.0,0.0,0.0,0.0,1.1013333333333333,0.000967364664287222,0.483682332143611,1.0,9,True,3.814726312612038e-13,1004
2,10.190747405413406,21.7261134321297,1.0,0.381107858975543,0.644110952228037,0.003992010656008516,0.0018840862685238215,0.0037726161548475123,708.1326008826604,4037.5778946167793,5510.327073381176,0.1,1,3.525550108918241,3.525550108918241,27.33812604246083,0.0,1.142,0.0009387815206876302,0.4693907603438151,1.0,8,True,1.3685719224554305e-12,1004
3,7.962300243395194,21.7261134321297,1.0,0.34945447447622213,0.5547885316366836,0.003992010656008516,0.0018819863114983074,0.003768406333699663,842.6136738534731,4205.346100273035,5638.364380364079,0.1,0,0.0,0.0,0.0,0.0,1.1753333333333333,0.0009377498016029941,0.4688749008014971,1.0,8,True,5.799805080641818e-13,1004
4,6.837747035537137,21.7261134321297,1.0,0.3370347571497889,0.5127733403092871,0.003992010656008516,0.0019158343550116368,0.003836263456835937,977.3035440265456,4381.401583347821,5761.579150494642,0.1,0,0.0,0.0,0.0,0.0,1.2006666666666668,0.0009546878865929395,0.4773439432964698,1.0,8,True,2.5424107263916085e-12,1004
5,5.994114058997343,21.7261134321297,1.0,0.33101749512755096,0.48337302778510527,0.003992010656008516,0.0019657291142611056,0.003936295601570837,1111.7244819021757,4492.823003982619,5858.068913157445,0.1,1,24.973387093042113,24.973387093042113,22.627485275244354,0.0,1.2253333333333332,0.000979571312547835,0.4897856562739175,1.0,3,True,1.7745804825608502e-12,1004
6,5.380990086977111,21.7261134321297,1.0,0.3271619757692138,0.46244836568497577,0.003992010656008516,0.0020073624230749214,0.004019769456736045,1251.3415257391648,4682.261641748147,5982.178416565372,0.1,0,0.0,0.0,0.0,0.0,1.2486666666666666,0.0010004484078789536,0.5002242039394769,1.0,8,True,5.7553961596568115e-12,1004
7,4.858249997929328,21.7261134321297,1.0,0.3263450093348503,0.44586038061561906,0.003992010656008516,0.0020576810535461567,0.004120662998352635,1394.2376033555906,4798.765883973394,6079.32996483118,0.1,0,0.0,0.0,0.0,0.0,1.274,0.0010255424350067537,0.5127712175033768,1.0,3,True,3.0735414213722834e-12,1004
0,18.525283682472498,18.59823991753739,1.0,0.5326919370316404,0.9851606229611134,0.006478920696552315,0.003200445589329138,0.0064137261054188965,372.10421257409973,2866.303522548784,4631.320920618125,0.1,2,32.144556772773214,32.144556772773214,21.10417096188931,0.0,0.9819999999999999,0.0015938814311129796,0.7969407155564898,1.0,15,True,6.143174857697886e-11,1005
1,14.477704521520119,20.34943101853157,1.0,0.4552262744355058,0.822836148943966,0.00498752080731768,0.0024576553121551385,0.00492287490409724,528.7712936746676,3874.865679865381,5387.214840860727,0.1,0,0.0,0.0,0.0,0.0,1.1253333333333335,0.0012228846164751208,0.6114423082375604,1.0,7,True,4.4134829124686803e-10,1005
2,10.675500935771906,20.34943101853157,1.0,0.38746446295624654,0.6649848987284313,0.00498752080731768,0.002375059496823562,0.004757182936637901,674.6747038508157,4280.687730319698,5644.898440433235,0.1,0,0.0,0.0,0.0,0.0,1.1666666666666665,0.0011818885190151664,0.5909442595075832,1.0,7,True,2.5160984407079923e-12,1005
3,8.564335623421654,20.34943101853157,1.0,0.3571139138101259,0.5830196419382029,0.00498752080731768,0.002410517971938065,0.004828312581137934,838.5309700144217,4467.342163036787,5778.140600410996,0.1,1,4.272940484353727,4.272940484353727,27.77786511628478,0.0,1.1926666666666665,0.0011996166793356857,0.5998083396678429,1.0,8,True,6.105671523926048e-12,1005
4,7.051521244124612,20.34943101853157,1.0,0.33808391195715914,0.5237193325916827,0.00498752080731768,0.0024278984110399867,0.004863178868543591,980.3684316491175,4661.890600178686,5912.918948913112,0.1,2,4.28714298705534,4.28714298705534,7.24910943638218,0.0,1.224,0.0012082553136771566,0.6041276568385783,1.0,8,True,1.7408297026122455e-12,1005
5,6.158977919275693,20.34943101853157,1.0,0.3294063958162462,0.4908253047686314,0.00498752080731768,0.002468296373420809,0.004944222733599764,1117.8658310700598,4855.592626829123,6038.067523281856,0.1,0,0.0,0.0,0.0,0.0,1.2486666666666666,0.001228442961931707,0.6142214809658535,1.0,8,True,4.069633519065974e-12,1005
6,5.493492159475017,20.34943101853157,1.0,0.32524431993034686,0.46725064396892246,0.00498752080731768,0.0025123305322499734,0.00503256598227104,1279.7075652804867,4982.756616963716,6140.987178328398,0.1,1,5.252006191097947,5.252006191097947,26.503886056879665,0.0,1.2766666666666666,0.0012503288280326377,0.6251644140163188,1.0,3,True,2.7711166694643907e-12,1005
7,4.877295235499559,20.34943101853157,1.0,0.32334645318069655,0.4464464145533818,0.00498752080731768,0.0025682504371534525,0.005144761959961252,1479.8484332045582,5110.954032463866,6241.511610975258,0.1,1,9.737000379941632,9.737000379941632,66.44584119201807,0.0,1.301333333333333,0.0012781681269491477,0.6390840634745738,1.0,3,True,4.75175454539567e-12,1005
0,18.40488088015758,20.34943101853157,1.0,0.5323192636417201,0.983518190096869,0.00498752080731768,0.0025096048345566785,0.00502709742720826,389.56056574217354,2831.841233290452,4601.220220039395,0.1,1,1.6988741267428873,1.6988741267428873,2.9080841986779067,0.0,0.9586666666666667,0.0012513354272190233,0.6256677136095117,1.0,14,True,3.974288814712068e-10,1006
1,13.222582220288514,21.7261134321297,1.0,0.4382025767533525,0.7772430268373511,0.003992010656008516,0.002020494771397008,0.0040461004252150675,536.4719264615692,3538.961127233654,5150.996610307999,0.1,1,11.085672505954184,11.085672505954184,13.96129933696674,0.0,1.0666666666666664,0.0010070267579109786,0.5035133789554893,1.0,9,True,7.744915819785092e-13,1006
2,10.128843189954749,21.7261134321297,1.0,0.38070872925674915,0.6425708624599276,0.003992010656008516,0.0018947494491505573,0.003793992993302709,698.2255124058752,3977.5145424462285,5433.84001894217,0.1,1,43.28621446350886,43.28621446350886,64.25570516395348,0.0,1.1133333333333335,0.0009446345407850098,0.47231727039250493,1.0,8,True,2.0765256181221048e-10,1006
3,7.994651082815999,21.7261134321297,1.0,0.3495826121057223,0.5562968537767318,0.003992010656008516,0.0018844249333257461,0.003773295083227973,832.5044170657258,4188.968974948806,5582.069348805386,0.1,0,0.0,0.0,0.0,0.0,1.1453333333333335,0.0009396646749608551,0.4698323374804276,1.0,8,True,0.0,1006
4,6.85333638155095,21.7261134321297,1.0,0.3363175873455476,0.5124141097167431,0.003992010656008516,0.0019046020752892306,0.0038137451395590756,966.6343947288673,4363.469141086512,5705.4328092784035,0.1,0,0.0,0.0,0.0,0.0,1.1753333333333333,0.0009497403262923986,0.4748701631461993,1.0,8,True,0.0,1006
5,6.002577756312023,21.7261134321297,1.0,0.3298825357089019,0.4821282386133066,0.003992010656008516,0.0019475027269928115,0.003899753471767894,1101.1718390039262,4474.99828621812,5802.298116285635,0.1,0,0.0,0.0,0.0,0.0,1.202,0.0009710904514483661,0.485545225724183,1.0,3,True,1.0285661211639763e-11,1006
6,5.3549089002985655,21.7261134321297,1.0,0.3262391108973352,0.4590020014677673,0.003992010656008516,0.001979544066769246,0.003963993790506025,1251.7055826862754,4590.338141619812,5896.674881440264,0.1,1,3.102077111223262,3.102077111223262,15.817154211762446,0.0,1.2313333333333332,0.0009869902589963286,0.49349512949816426,1.0,3,True,3.666833503501721e-11,1006
7,4.788044713251382,21.7261134321297,1.0,0.3251802995774945,0.44028118343065137,0.003992010656008516,0.0020253741553994844,0.0040558839271898324,1391.0579676275247,4706.54396009016,5993.222297728262,0.1,0,0.0,0.0,0.0,0.0,1.2566666666666666,0.0010097968521061232,0.5048984260530616,1.0,3,True,0.0,1006
0,18.55607820186261,19.72791878550426,1.0,0.5335983939923311,0.9870994622076181,0.005484902691080928,0.002720638617461624,0.00545054883599091,388.99734720515795,2871.2028313640667,4639.019550465653,0.1,1,7.536930310935359,7.536930310935359,7.3456721091347985,0.0,0.982,0.0013564936414681885,0.6782468207340943,1.0,16,True,9.297895786630761e-12,1007
1,13.707681110334134,21.7261134321297,1.0,0.44694339051103715,0.8009381411354632,0.003992010656008516,0.002070554433542238,0.004146476346134482,546.8367891412439,3796.0810754559934,5332.251588254232,0.1,1,10.989920409571337,10.989920409571337,10.510765866567581,0.0,1.1133333333333333,0.001032085349971968,0.516042674985984,1.0,9,True,6.084022174945858e-14,1007
2,10.132331610588665,21.7261134321297,1.0,0.38592424341983605,0.654077032815609,0.003992010656008516,0.002025657656399993,0.004056452368117238,691.8971105928202,4096.366384944676,5540.731684448634,0.1,0,0.0,0.0,0.0,0.0,1.1513333333333333,0.0010097569278648825,0.5048784639324413,1.0,7,True,2.3243629243552277e-12,1007
3,8.159238045279558,21.7261134321297,1.0,0.359915394282997,0.5787375068468985,0.003992010656008516,0.0020674768123826073,0.0041403051469009414,829.8710556429821,4211.930358459372,5645.353228167936,0.1,0,0.0,0.0,0.0,0.0,1.1786666666666665,0.0010305456216690345,0.5152728108345173,1.0,4,True,0.0,1007
4,6.986220245014294,21.7261134321297,1.0,0.3450999876490546,0.5331555298176939,0.003992010656008516,0.0020831622215698236,0.00417175753968713,969.7134994656976,4454.435900291184,5797.661969684385,0.1,0,0.0,0.0,0.0,0.0,1.2066666666666666,0.001038487370504655,0.5192436852523274,1.0,8,True,2.260602816051005e-11,1007
5,6.10937348057486,21.7261134321297,1.0,0.33680478228483957,0.5007593420312069,0.003992010656008516,0.002114641976846166,0.004234882630447771,1111.753020085994,4640.42390865863,5924.3419373911765,0.1,0,0.0,0.0,0.0,0.0,1.234,0.0010542036836517065,0.5271018418258533,1.0,3,True,0.0,1007
6,5.474244098443754,21.7261134321297,1.0,0.32988119991151676,0.4751439856950654,0.003992010656008516,0.0021121658980784003,0.0042299173587947506,1259.2668902350174,4910.143686898949,6086.007409132773,0.1,0,0.0,0.0,0.0,0.0,1.267333333333333,0.001053053815789628,0.526526907894814,1.0,100,True,0.0,1007
7,4.911164764345445,21.01395432187773,1.0,0.31880755802599947,0.43756401171218673,0.004489890170429445,0.002178667016851266,0.004363277156153744,1404.0923286896352,5035.459121854337,6184.46718022908,0.1,0,0.0,0.0,0.0,0.0,1.2893333333333332,0.0010861993608449812,0.5430996804224906,1.0,3,True,1.414757200279837e-11,1007
0,18.436568177024927,21.01395432187773,1.0,0.5363798282688794,0.9929556497237947,0.004489890170429445,0.0023665726230401645,0.004740158750124017,390.76437268396234,2882.674786402516,4609.142044256232,0.1,0,0.0,0.0,0.0,0.0,0.9526666666666667,0.0011799191893767142,0.5899595946883571,1.0,100,False,0.0014837690430829359,1008
1,13.400125153732974,22.49122076213096,1.0,0.43870154930617583,0.7821987733983549,0.003493882139585125,0.001746585171573634,0.003496988634026268,545.5589848703851,3713.716929038586,5236.29149958505,0.1,1,1.6345559833170875,1.6345559833170875,3.250211825247304,0.0,1.0786666666666664,0.0008706983137037167,0.4353491568518583,1.0,10,True,4.780620344035924e-13,1008
2,9.96407767148204,22.49122076213096,1.0,0.3796159974446646,0.6393833870523841,0.003493882139585125,0.0016923817951569721,0.0033883484170202857,686.3494129259241,4006.5087839319176,5435.992099623411,0.1,0,0.0,0.0,0.0,0.0,1.117333333333333,0.0008437453264637471,0.42187266323187356,1.0,8,True,5.169198402654729e-13,1008
3,8.068824514953599,22.49122076213096,1.0,0.35647811835371573,0.5703796667279819,0.003493882139585125,0.0017611255931440977,0.0035261333599358635,875.5942936916722,4127.551026850764,5538.032968840707,0.1,1,9.013627122041388,9.013627122041388,61.55796065904953,0.0,1.138,0.0008779418442904837,0.43897092214524186,1.0,5,True,4.670308584309169e-10,1008
4,6.433609271607278,22.49122076213096,1.0,0.3405808765045518,0.5098589318152018,0.003493882139585125,0.0018109958012907936,0.0036260969105853702,1007.1841449451402,4235.788505430859,5633.2315660611675,0.1,0,0.0,0.0,0.0,0.0,1.1613333333333336,0.0009028076893116769,0.45140384465583844,1.0,5,True,5.652139867251549e-10,1008
